OSM ID,highway type,Bridge Status,Latitude,Longitude
295910006,motorway,,41.9088196,15.1955356
534696006,track,viaduct,41.387991,15.7306623
686173366,motorway,,41.3475401,15.8246178
354654207,secondary,,41.8592156,15.318041
174510678,secondary,,41.9125136,15.1872682
754095463,track,,41.438727,15.6528509
28512639,motorway,yes,41.2476035,16.0184095
26371569,motorway,,41.4609527,15.6168673
31030379,motorway,,41.3286461,15.8790623
52027879,tertiary,,41.8548681,15.3043177
970235538,secondary,,41.6499351,15.4430193
23750997,motorway,,41.3954047,15.700376
23750997,motorway,,41.3954047,15.700376
23750997,motorway,,41.3954047,15.700376
143085611,track,,41.6554313,15.4303191
213795140,motorway,,41.8264615,15.3513365
116867772,tertiary,yes,41.7130815,15.4091734
55600441,track,,41.3308499,15.8771144
213795141,motorway,,41.8537156,15.3217446
970235500,track,,41.7475952,15.4111847
354654202,motorway,,41.8544686,15.3207356
686170054,secondary,,41.3997635,15.6782207
71506081,motorway,,41.9338084,15.0699672
26296167,motorway,,41.3659784,15.7816997
213795140,motorway,,41.8264615,15.3513365
432254869,track,,41.9065031,15.23462
26317623,secondary,yes,41.2779231,15.9623814
120866393,track,,41.3069591,15.9260857
26332132,tertiary,yes,41.5870786,15.5068973
404733305,secondary,,41.7425318,15.4141064
70484230,motorway,,41.9112994,15.1573677
31030379,motorway,,41.3286461,15.8790623
432254860,track,yes,41.9084893,15.2167216
26296167,motorway,,41.3659784,15.7816997
32352251,motorway,,41.773601,15.4002772
108121352,tertiary,,41.7005862,15.4052777
1053979714,secondary,yes,41.6921599,15.4082878
32966598,motorway,,41.8889233,15.2713605
26347762,motorway,,41.5146097,15.5547086
27834821,motorway,,41.8035763,15.3633805
541388905,track,,41.3811055,15.7565483
23750997,motorway,,41.3954047,15.700376
26821992,service,,41.2699475,15.9523326
44852909,motorway_link,yes,41.6901386,15.409424
116869188,tertiary,yes,41.4809301,15.5925398
198474190,motorway,,41.2675553,15.9797801
31030379,motorway,,41.3286461,15.8790623
32352254,motorway,,41.707564,15.4067801
213795181,secondary,,41.8614909,15.3114229
298413217,motorway,,41.5910258,15.5012111
306578526,motorway,yes,41.6183752,15.4651262
26623007,track,,41.2972126,15.9353034
1096819314,secondary,yes,41.4574731,15.6235904
27834821,motorway,,41.8035763,15.3633805
94130762,motorway,,41.8725881,15.300707
26647643,motorway,,41.4279401,15.6583137
31555943,tertiary,yes,41.3962076,15.6979046
35287224,motorway,yes,41.5732443,15.5183102
26371570,motorway,yes,41.475222,15.5986941
686173366,motorway,,41.3475401,15.8246178
401619276,tertiary,,41.6484233,15.4505761
298413215,motorway,,41.5445663,15.5292196
25891917,motorway,yes,41.3187708,15.9086402
584989688,secondary,,41.7758593,15.4153032
445244385,secondary,,41.3313535,15.9012963
306578527,motorway,,41.6468766,15.4458491
312144401,service,,41.9094796,15.1658865
26296167,motorway,,41.3659784,15.7816997
34174814,motorway,,41.2973757,15.9422117
26296167,motorway,,41.3659784,15.7816997
978715819,secondary,,41.8652337,15.3113917
283269174,primary,,41.914797,15.2286462
143084369,track,,41.6779354,15.4210805
44853787,motorway_link,,41.5000813,15.5699125
26623242,track,,41.2681286,15.9747775
94130752,motorway,yes,41.8790768,15.2929609
147013898,secondary,yes,41.9092659,15.199268
26347758,motorway,,41.4808021,15.5922321
107100034,motorway,,41.5321487,15.5398226
34174814,motorway,,41.2973757,15.9422117
972218361,track,,41.5116214,15.5556933
26347762,motorway,,41.5146097,15.5547086
31031006,tertiary,,41.4681701,15.613753
972218357,track,,41.4921887,15.5823949
364403553,secondary,,41.5583094,15.5233098
52455119,track,,41.2599108,16.0017162
31030379,motorway,,41.3286461,15.8790623
584168662,tertiary,,41.6285956,15.4459566
975243773,track,,41.6008873,15.4747243
26647643,motorway,,41.4279401,15.6583137
26647643,motorway,,41.4279401,15.6583137
358385862,secondary,yes,41.7727248,15.4005857
26296167,motorway,,41.3659784,15.7816997
32352254,motorway,,41.707564,15.4067801
26649038,motorway_link,,41.8570597,15.3188724
107099995,tertiary,,41.675182,15.4066288
31030379,motorway,,41.3286461,15.8790623
31030379,motorway,,41.3286461,15.8790623
23750997,motorway,,41.3954047,15.700376
26371569,motorway,,41.4609527,15.6168673
686173366,motorway,,41.3475401,15.8246178
31030379,motorway,,41.3286461,15.8790623
107100028,motorway,yes,41.5264615,15.5446081
120866393,track,,41.3069591,15.9260857
32352251,motorway,,41.773601,15.4002772
108386122,secondary,,41.87874,15.2820151
464561824,track,,41.6836589,15.4113077
358389646,secondary,yes,41.8393008,15.3381237
306578527,motorway,,41.6468766,15.4458491
584179479,secondary,,41.6135654,15.4877615
43447179,secondary,,41.2853102,15.9522823
26647643,motorway,,41.4279401,15.6583137
213795140,motorway,,41.8264615,15.3513365
23750997,motorway,,41.3954047,15.700376
26371569,motorway,,41.4609527,15.6168673
143084368,track,yes,41.6634738,15.4254471
32352251,motorway,,41.773601,15.4002772
32352254,motorway,,41.707564,15.4067801
108682536,track,,41.2549093,16.0102388
785158186,motorway,,41.2232465,15.9760147
111560692,track,,41.1968018,15.8342407
108682257,track,,41.2214253,15.9692989
136785710,track,,41.1792051,15.7112174
785158186,motorway,,41.2232465,15.9760147
485697495,track,,41.2136836,15.9449432
28512639,motorway,yes,41.2476035,16.0184095
48678266,track,,41.2023955,15.9093705
52436142,track,,41.2396831,16.0106715
56045229,track,yes,41.1814422,15.674818
142013628,track,,41.1780274,15.7362957
26616070,secondary,yes,41.22637,15.9841394
104199720,track,,41.1786621,15.7087291
56045216,track,yes,41.1546045,15.5408433
111986870,secondary,,41.1947291,15.792146
23990737,motorway,,41.183216,15.6533285
27765806,secondary,,41.2013782,15.8203163
56045231,track,,41.207939,15.9292045
54256318,service,,41.1912239,15.8100854
785158186,motorway,,41.2232465,15.9760147
400456850,motorway,viaduct,41.1505695,15.4777628
142013654,track,,41.1782642,15.7340536
111560693,track,,41.1993221,15.8285577
416511269,motorway,,41.1486216,15.5069259
56045219,track,yes,41.1573587,15.581466
23990737,motorway,,41.183216,15.6533285
23990737,motorway,,41.183216,15.6533285
48678266,track,,41.2023955,15.9093705
118395155,track,,41.1816985,15.6823572
27896100,trunk,,41.1668788,15.5261145
423009416,track,,41.1308601,15.4323464
42721080,track,,41.2017477,15.8370149
34396777,track,,41.1808188,15.7542652
56001679,track,,41.2074401,15.8729912
26277972,secondary,,41.2328685,15.8776097
785158186,motorway,,41.2232465,15.9760147
27803840,secondary,,41.1841829,15.6615697
416511271,track,,41.1499825,15.5026279
38193081,tertiary,,41.148316,15.5184182
400432237,motorway,viaduct,41.1124795,15.4064349
107879539,track,,41.2285569,15.9863097
108405248,track,,41.2087776,15.8500807
395251193,secondary,,41.1749728,15.6948875
95787880,motorway,,41.1455731,15.4651175
96860407,track,,41.1883652,15.8010262
785158186,motorway,,41.2232465,15.9760147
56001675,track,yes,41.182261,15.7811011
110967063,track,yes,41.2026031,15.8990271
96860419,track,,41.1858735,15.7939151
96867243,track,yes,41.1944737,15.8199433
118395150,track,,41.1664607,15.6199008
32352251,motorway,,41.773601,15.4002772
1061781184,motorway,,41.6855061,15.4116457
410519269,track,,41.4561163,15.6178116
319330673,secondary,,41.8963327,15.2594791
107064212,motorway,yes,41.8182651,15.354249
26622664,motorway,yes,41.3158016,15.9130928
107100034,motorway,,41.5321487,15.5398226
26622714,motorway,,41.3131591,15.9173022
696133091,secondary,,41.8245067,15.349731
972218352,track,,41.4935729,15.5777304
26923532,motorway,,41.3796649,15.7549658
27834821,motorway,,41.8035763,15.3633805
23750997,motorway,,41.3954047,15.700376
26622714,motorway,,41.3131591,15.9173022
94130762,motorway,,41.8725881,15.300707
23750997,motorway,,41.3954047,15.700376
972218352,track,,41.4935729,15.5777304
32352254,motorway,,41.707564,15.4067801
400468678,primary,,41.1677489,15.6023025
28118885,motorway_link,,41.1526546,15.5259753
416511268,motorway,yes,41.1486498,15.5067542
785158186,motorway,,41.2232465,15.9760147
28799009,motorway_link,,41.2057483,15.8872178
400583711,secondary,,41.2116077,15.955355
534840994,track,,41.2220618,15.967716
400460911,track,,41.1563403,15.5322738
400581384,motorway_link,,41.2048979,15.887297
400468676,tertiary,,41.1626051,15.5921606
400460908,track,,41.1565237,15.5652216
211549397,secondary,,41.8409464,15.8310387
211549397,secondary,,41.8409464,15.8310387
640414010,secondary,,41.8380039,15.8501977
211549396,residential,,41.8408585,15.861267
211549396,residential,,41.8408585,15.861267
211549386,residential,,41.8423811,15.8612992
640414010,secondary,,41.8380039,15.8501977
26822328,track,,41.2701704,15.9350198
32966596,primary,,41.8770163,15.279749
51388059,trunk,,41.3298076,15.7657784
283269174,primary,,41.914797,15.2286462
51388059,trunk,,41.3298076,15.7657784
26623191,construction,,41.2754514,15.9702085
26821992,service,,41.2699475,15.9523326
51388059,trunk,,41.3298076,15.7657784
51388059,trunk,,41.3298076,15.7657784
118608694,tertiary,yes,41.3106348,15.8021597
30586948,trunk_link,,41.2723391,15.9153446
171981816,primary,,41.588636,15.4745474
181723374,service,,41.4005788,15.6531449
237266653,footway,,41.9257232,15.1366022
978713097,secondary,,41.8388874,15.2889963
51389700,trunk,,41.3787905,15.6796499
404733309,primary,,41.8179279,15.3013333
26564826,trunk,,41.2805927,15.898689
26924173,trunk,yes,41.2740278,15.9122579
51388059,trunk,,41.3298076,15.7657784
108226850,primary_link,,41.6891698,15.3437806
1002842011,residential,,41.4171896,15.619043
51388059,trunk,,41.3298076,15.7657784
777218554,primary,,41.7409571,15.3312483
51392261,trunk,yes,41.4077368,15.6392078
51389700,trunk,,41.3787905,15.6796499
26564826,trunk,,41.2805927,15.898689
294513395,tertiary,yes,41.2947554,15.8285865
26296050,trunk,,41.2824173,15.8496119
32772421,primary_link,,41.6603985,15.3757653
26277443,trunk,,41.2798626,15.9024598
51392261,trunk,yes,41.4077368,15.6392078
813798921,primary,,41.6879531,15.345052
213795166,service,,41.8705614,15.2816557
26332247,primary_link,,41.5774304,15.4838541
294513395,tertiary,yes,41.2947554,15.8285865
51389700,trunk,,41.3787905,15.6796499
26332219,primary_link,,41.5778478,15.4869611
161539759,tertiary,,41.3948065,15.6608006
283269174,primary,,41.914797,15.2286462
26821472,secondary,,41.2785628,15.9850327
26346214,trunk,yes,41.2696092,15.9161685
26821992,service,,41.2699475,15.9523326
298413379,trunk_link,,41.2754523,15.8763442
51388059,trunk,,41.3298076,15.7657784
51388059,trunk,,41.3298076,15.7657784
299267214,trunk_link,,41.2824178,16.000728
181723374,service,,41.4005788,15.6531449
38218410,trunk_link,,41.265312,15.9208746
305327025,tertiary,,41.4975851,15.3807159
115873197,primary,,41.4666922,15.0942752
639063432,track,,41.4971474,15.0305575
1056870516,primary,yes,41.5037371,15.0035809
235847524,primary_link,,41.4928,15.3263035
32283967,trunk,,41.492118,15.4040151
115873197,primary,,41.4666922,15.0942752
36921269,primary_link,,41.5000097,15.3632626
1056870512,primary,yes,41.4887188,15.1084199
668356586,primary,,41.5099608,14.9865755
299260375,secondary,,41.4828893,15.4530643
60778936,trunk,,41.4753145,15.4886994
58283733,primary_link,,41.495706,15.2590884
32283967,trunk,,41.492118,15.4040151
235847482,primary,,41.499031,15.3080851
44903152,primary,,41.5233745,14.950076
227774541,track,,41.490621,15.1131309
1056870509,primary,yes,41.4893652,15.1205905
136670306,primary,viaduct,41.4563623,15.0744787
235852179,tertiary,,41.4911506,15.4056905
32797036,primary,yes,41.4975223,15.3561672
32772270,primary_link,,41.4950856,15.3339945
299260375,secondary,,41.4828893,15.4530643
231702718,tertiary,,41.4817018,15.4530584
23321226,primary,,41.4865677,15.1037763
231702721,unclassified,,41.4777667,15.4768181
44369866,primary,,41.4987165,15.1440368
115873182,primary,,41.4748507,15.053674
235758306,primary,,41.4959428,15.3457903
1056512316,track,,41.1133451,15.5853816
27896208,trunk,,41.359675,15.5647981
34731891,trunk,yes,41.2286304,15.5388995
32453598,trunk,,41.3809392,15.5633576
27896100,trunk,,41.1668788,15.5261145
44225898,trunk,yes,41.1886251,15.5338678
32049678,trunk,yes,41.4202656,15.5587016
23190326,trunk,,41.4233419,15.5591542
27896100,trunk,,41.1668788,15.5261145
136435927,tertiary,,41.2692874,15.5520991
32049679,trunk,,41.4155115,15.5583183
33999571,trunk,,41.3120751,15.5571598
27896100,trunk,,41.1668788,15.5261145
32049679,trunk,,41.4155115,15.5583183
33999571,trunk,,41.3120751,15.5571598
564061128,primary,,41.3061221,15.555528
33999571,trunk,,41.3120751,15.5571598
30732584,trunk,,41.3552788,15.5646741
378896142,primary,,41.4756579,15.5099668
150519871,primary,,41.4707256,15.5075135
231690275,primary,,41.491638,15.5226874
27896213,trunk,,41.4264999,15.5590273
150331366,trunk,,41.4833372,15.5841472
26373638,trunk,yes,41.4261758,15.6063311
26373776,trunk,yes,41.4278285,15.6065294
1061781163,secondary,,41.4308424,15.5988266
26347487,trunk_link,yes,41.4965295,15.5585124
23436640,motorway_link,,41.4941145,15.5625485
23436640,motorway_link,,41.4941145,15.5625485
116869508,trunk,yes,41.480025,15.589374
60544481,trunk_link,,41.4430303,15.6084431
51179560,primary,,41.4288009,15.5824321
23441428,primary,,41.4979762,15.519197
27896213,trunk,,41.4264999,15.5590273
1061781163,secondary,,41.4308424,15.5988266
231690292,secondary,,41.4448557,15.6094927
610852287,trunk_link,,41.4274129,15.5598705
30730743,trunk,,41.4676824,15.6032818
34203228,secondary,,41.4712511,15.5091906
1221691632,unclassified,,41.7262455,16.073672
1180091858,path,,41.6794979,16.0293075
26403037,trunk,,41.7202863,16.0516739
26403106,secondary,,41.7069123,16.0447269
456635131,trunk,yes,41.7213566,16.0575146
37521586,trunk,yes,41.5184838,15.3155777
235847473,primary,,41.4996074,15.303243
102490543,trunk,,41.5041594,15.3059273
397662021,trunk_link,,41.508734,15.3076459
406333255,trunk,,41.8380675,15.72853
997064514,track,yes,41.8597676,15.8344302
328333128,trunk,,41.8517623,15.3953249
911374390,tertiary,yes,41.8528248,15.4406136
211549389,trunk,,41.8363364,15.8169982
297778757,trunk,,41.9106064,15.9099343
30705816,trunk,,41.8346996,15.799853
289910507,trunk,,41.8452112,15.8302446
152605009,trunk,,41.8681959,15.6243993
213795176,tertiary,yes,41.8542209,15.326696
39256212,trunk,,41.9025158,15.8656328
406333258,trunk,viaduct,41.8367397,15.7347883
289910507,trunk,,41.8452112,15.8302446
147005239,trunk,,41.8740617,15.8356804
289910507,trunk,,41.8452112,15.8302446
911374391,tertiary,,41.852813,15.426109
289910507,trunk,,41.8452112,15.8302446
1105041636,unclassified,,41.8820231,15.8410165
165574116,unclassified,,41.8460557,15.3804838
522006522,track,,41.9069274,15.8825684
297778764,tertiary,,41.9177755,15.8947428
328333190,trunk_link,,41.8528116,15.3571078
315099164,trunk,,41.9086005,15.8907001
315099164,trunk,,41.9086005,15.8907001
30705643,trunk_link,,41.8333497,15.7523753
1105041636,unclassified,,41.8820231,15.8410165
1101298640,unclassified,,41.8531401,15.3365182
315099160,trunk,,41.9106987,15.8989029
319132720,trunk,,41.8914283,15.8575355
328333141,trunk,,41.8535278,15.32766
328333141,trunk,,41.8535278,15.32766
59319062,primary_link,yes,41.490236,15.1168179
44866647,primary_link,yes,41.4880212,15.0478988
44850540,primary_link,,41.4982076,15.1479458
59322725,primary_link,,41.4886438,15.049064
51388059,trunk,,41.3298076,15.7657784
30705816,trunk,,41.8346996,15.799853
