city ,city_latitude,city_longitude,bridge_start_lat,bridge_start_lon,bridge_end_lat,bridge_end_lon,node,city_closeness_before_removal,centrality_after_removal
Carpino,41.844242,15.856153,41.83643,15.80674,41.83645,15.80683,"1.843760, 15.855644",2.02E-06,2.02E-06
Castelluccio dei Sauri,41.3039147,15.4792258,41.359626,15.564933,41.3578,15.564851,"41.305107, 15.479211",0.000632,0.000590701
Castelluccio dei Sauri,41.3039147,15.4792258,41.22887,15.538746,41.2287,15.538798,"41.305107, 15.479211",0.000632,0.000590511
Castelluccio dei Sauri,41.3039147,15.4792258,41.269403,15.551742,41.269319,15.551714,"41.305107, 15.479211",0.000632,0.000590511
Castelluccio dei Sauri,41.3039147,15.4792258,41.331392,15.560979,41.331341,15.560969,"41.305107, 15.479211",0.000632,0.000590511
Castelluccio dei Sauri,41.3039147,15.4792258,41.314158,15.557616,41.314142,15.557574,"41.305107, 15.479211",0.000632,0.000590493
Castelluccio dei Sauri,41.3039147,15.4792258,41.306406,15.556021,41.305797,15.555871,"41.305107, 15.479211",0.000632,0.000590493
Castelluccio dei Sauri,41.3039147,15.4792258,41.319398,15.558803,41.319362,15.558811,"41.305107, 15.479211",0.000632,0.000590493
Castelluccio dei Sauri,41.3039147,15.4792258,41.354181,15.564374,41.35404,15.564365,"41.305107, 15.479211",0.000632,0.000590458
Castelnuovo della Daunia,41.582631,15.12084,41.489791,15.111826,41.489723,15.113078,"41.582757, 15.120436",2.02E-06,2.02E-06
Celenza Valfortore,41.56173,14.978837,41.498314,15.033444,41.498232,15.033685,"41.5615565,14.9789135",2.02E-06,2.02E-06
Celenza Valfortore,41.56173,14.978837,41.504587,15.00104,41.503391,15.005049,"41.5615565,14.9789135",2.02E-06,2.02E-06
Celenza Valfortore,41.56173,14.978837,41.51392,14.980993,41.510478,14.985313,"41.5615565,14.9789135",2.02E-06,2.02E-06
Celenza Valfortore,41.56173,14.978837,41.524226,14.951555,41.524367,14.951779,"41.5615565,14.9789135",2.02E-06,2.02E-06
Deliceto,41.223026,15.38585,41.130651,15.432697,41.132687,15.435097," 41.2229282, 15.3857052",2.02E-06,2.02E-06
Deliceto,41.223026,15.38585,41.148594,15.518311,41.148594,15.518311," 41.2229282, 15.3857052",2.02E-06,2.02E-06
Deliceto,41.223026,15.38585,41.269403,15.551742,41.269319,15.551714," 41.2229282, 15.3857052",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.84091,15.85983,41.84088,15.85998,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.84072,15.86013,41.8406,15.86011,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.84271,15.86041,41.84268,15.86054,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.85946,15.834921,41.859521,15.834928,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.836479,15.814057,41.83638,15.815671,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.910713,15.905479,41.910713,15.907465,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.836265,15.806762,41.836308,15.807059,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.850567,15.832328,41.850834,15.832374,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.902613,15.86502,41.902527,15.865487,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.838197,15.823432,41.838327,15.823623,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.878567,15.839833,41.878595,15.839865,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.840248,15.825699,41.840421,15.825833,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.846381,15.831096,41.846596,15.831218,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.90739,15.880307,41.907417,15.880399,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.910225,15.912026,41.910211,15.91212,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.909801,15.894774,41.910316,15.896197,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.908507,15.89095,41.908509,15.891055,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.833706,15.751514,41.833725,15.751528,"41.904823, 15.899928",2.02E-06,2.02E-06
Ischitella,41.904344,15.899453,41.910658,15.898088,41.910702,15.898727,"41.904823, 15.899928",2.02E-06,0
Ischitella,41.904344,15.899453,41.888615,15.85143,41.88865,15.851492,"41.904823, 15.899928",2.02E-06,0
Ischitella,41.904344,15.899453,41.83643,15.80674,41.83645,15.80683,"41.904823, 15.899928",2.02E-06,0
Monte Sant'Angelo,41.70544,15.967657,41.717138,16.046523,41.717566,16.046983,"41.705397, 15.967617",4.03E-06,4.03E-06
Monte Sant'Angelo,41.70544,15.967657,41.720964,16.055413,41.721367,16.057501,"41.705397, 15.967617",4.03E-06,4.03E-06
Motta Montecorvino,41.50743,15.114141,41.459216,15.091958,41.463392,15.093473,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.498314,15.033444,41.498232,15.033685,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.46679,15.094358,41.467331,15.094485,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.488131,15.107177,41.488831,15.108816,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.489791,15.111826,41.489723,15.113078,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.489215,15.119419,41.489653,15.12192,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.45557,15.071583,41.456179,15.074445,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.486573,15.103845,41.487056,15.104691,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.493045,15.135518,41.498058,15.142045,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.477603,15.053563,41.47618,15.053555,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.489362,15.117366,41.489353,15.117513,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.498706,15.146428,41.498697,15.146542,"41.507341, 15.114179",2.02E-06,2.02E-06
Pietramontecorvino,41.541631,15.127541,41.498314,15.033444,41.498232,15.033685,"41.5412081,15.1277068",1.69E-05,1.69E-05
Pietramontecorvino,41.541631,15.127541,41.488131,15.107177,41.488831,15.108816,"41.5412081,15.1277068",1.69E-05,1.69E-05
Pietramontecorvino,41.541631,15.127541,41.489791,15.111826,41.489723,15.113078,"41.5412081,15.1277068",1.69E-05,1.69E-05
Pietramontecorvino,41.541631,15.127541,41.489215,15.119419,41.489653,15.12192,"41.5412081,15.1277068",1.69E-05,1.69E-05
Pietramontecorvino,41.541631,15.127541,41.486573,15.103845,41.487056,15.104691,"41.5412081,15.1277068",1.69E-05,1.69E-05
Pietramontecorvino,41.541631,15.127541,41.493045,15.135518,41.498058,15.142045,"41.5412081,15.1277068",1.69E-05,1.69E-05
Rocchetta Sant'Antonio,41.103524,15.461754,41.154749,15.540625,41.154749,15.540625,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.153726,15.529556,41.153817,15.529892,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.130651,15.432697,41.132687,15.435097,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.149417,15.502676,41.149417,15.502676,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.148594,15.518311,41.148594,15.518311,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.151951,15.525397,41.151951,15.525397,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.154062,15.531096,41.154062,15.531096,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.162471,15.592194,41.162471,15.592194,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.15638,15.565206,41.15638,15.565206,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.113222,15.582192,41.113183,15.58226,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.155008,15.529073,41.154945,15.52908,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.188757,15.533697,41.188603,15.533642,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.163812,15.525377,41.163795,15.525329,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.187286,15.533304,41.187094,15.53327,"41.103359, 15.461733",2.02E-06,2.02E-06
San Marco la Catola,41.524829,15.005938,41.498314,15.033444,41.498232,15.033685,"41.5248768,15.0066814",0.000496,0.000479598
San Marco la Catola,41.524829,15.005938,41.504587,15.00104,41.503391,15.005049,"41.5248768,15.0066814",0.000496,0.000479598
San Marco la Catola,41.524829,15.005938,41.51392,14.980993,41.510478,14.985313,"41.5248768,15.0066814",0.000496,0.000479584
San Marco la Catola,41.524829,15.005938,41.524226,14.951555,41.524367,14.951779,"41.5248768,15.0066814",0.000496,0.000479569
San Marco la Catola,41.524829,15.005938,41.489791,15.111826,41.489723,15.113078,"41.5248768,15.0066814",0.000496,0.000479569
San Marco la Catola,41.524829,15.005938,41.477603,15.053563,41.47618,15.053555,"41.5248768,15.0066814",0.000496,0.000479555
Sant'Agata di Puglia,41.151824,15.380251,41.130651,15.432697,41.132687,15.435097," 41.1518109,15.3808436",2.02E-06,2.02E-06
Sant'Agata di Puglia,41.151824,15.380251,41.149417,15.502676,41.149417,15.502676," 41.1518109,15.3808436",2.02E-06,2.02E-06
Sant'Agata di Puglia,41.151824,15.380251,41.148594,15.518311,41.148594,15.518311," 41.1518109,15.3808436",2.02E-06,2.02E-06
Volturara Appula,41.496029,15.052239,41.459216,15.091958,41.463392,15.093473,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.498314,15.033444,41.498232,15.033685,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.504587,15.00104,41.503391,15.005049,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.46679,15.094358,41.467331,15.094485,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.488131,15.107177,41.488831,15.108816,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.51392,14.980993,41.510478,14.985313,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.489791,15.111826,41.489723,15.113078,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.489215,15.119419,41.489653,15.12192,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.45557,15.071583,41.456179,15.074445,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.486573,15.103845,41.487056,15.104691,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.493045,15.135518,41.498058,15.142045,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.477603,15.053563,41.47618,15.053555,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.489015,15.04841,41.488958,15.048514,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.488004,15.049355,41.487923,15.049428,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturino,41.477229,15.124241,41.459216,15.091958,41.463392,15.093473,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.498314,15.033444,41.498232,15.033685,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.46679,15.094358,41.467331,15.094485,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.488131,15.107177,41.488831,15.108816,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.489791,15.111826,41.489723,15.113078,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.489215,15.119419,41.489653,15.12192,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.45557,15.071583,41.456179,15.074445,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.486573,15.103845,41.487056,15.104691,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.493045,15.135518,41.498058,15.142045,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.477603,15.053563,41.47618,15.053555,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.489362,15.117366,41.489353,15.117513,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.498706,15.146428,41.498697,15.146542,"41.4776498,15.1240411",2.02E-06,2.02E-06
